seconds,b1
float,int
,
0.19966442953020133,0
0.39932885906040266,0
0.598993288590604,0
0.7986577181208053,0
0.9983221476510067,295
1.197986577181208,0
1.3976510067114094,1
1.5973154362416107,0
1.7969798657718121,0
1.9966442953020134,0
2.196308724832215,37
2.395973154362416,0
2.5956375838926173,47
2.795302013422819,10
2.99496644295302,22
3.1946308724832213,0
3.3942953020134228,0
3.5939597315436242,0
3.7936241610738257,0
3.9932885906040267,0
4.192953020134228,29
4.39261744966443,0
4.592281879194631,182
4.791946308724832,0
4.991610738255034,0
5.191275167785235,112
5.390939597315436,13
5.590604026845638,0
5.790268456375839,16
5.98993288590604,0
6.189597315436242,0
6.389261744966443,0
6.5889261744966445,0
6.7885906040268456,40
6.988255033557047,1
7.1879194630872485,9
7.3875838926174495,0
7.587248322147651,0
7.7869127516778525,0
7.9865771812080535,571
8.186241610738255,0
8.385906040268456,292
8.58557046979866,7
8.78523489932886,0
8.984899328859061,0
9.184563758389261,0
9.384228187919463,0
9.583892617449663,0
9.783557046979867,0
9.983221476510067,144
10.18288590604027,0
10.38255033557047,86
10.582214765100671,3356
10.781879194630871,5357
10.981543624161075,3759
11.181208053691275,6181
11.380872483221477,1897
11.580536912751677,6016
11.78020134228188,9592
11.97986577181208,4926
12.179530201342283,4144
12.379194630872483,3332
12.578859060402685,2644
12.778523489932885,2078
12.978187919463087,1491
13.177852348993289,1728
13.377516778523491,1070
13.577181208053691,1420
13.776845637583893,538
13.976510067114093,892
14.176174496644295,477
14.375838926174497,612
14.575503355704699,369
14.775167785234899,249
14.974832214765103,668
15.174496644295303,414
15.374161073825505,709
15.573825503355705,580
15.773489932885907,7226
15.973154362416107,377
16.17281879194631,72
16.37248322147651,1828
16.57214765100671,1194
16.77181208053691,3633
16.971476510067113,994
17.17114093959732,141
17.370805369127517,102
17.57046979865772,261
17.77013422818792,316
17.969798657718123,4998
18.16946308724832,7373
18.369127516778523,3894
18.568791946308725,4733
18.768456375838927,5037
18.968120805369125,4531
19.167785234899327,3190
19.36744966442953,3380
19.567114093959734,6630
19.766778523489933,4454
19.966442953020135,6003
20.166107382550337,2974
20.36577181208054,1952
20.565436241610737,3179
20.76510067114094,1945
20.96476510067114,2901
21.164429530201343,955
21.36409395973154,456
21.563758389261743,1133
21.76342281879195,536
21.96308724832215,1972
22.16275167785235,1673
22.36241610738255,5253
22.562080536912752,861
22.761744966442954,4340
22.961409395973153,3049
23.161073825503355,1963
23.360738255033556,1819
23.56040268456376,1797
23.760067114093957,4723
23.95973154362416,848
24.159395973154364,951
24.359060402684566,758
24.558724832214764,588
24.758389261744966,192
24.95805369127517,180
25.15771812080537,266
25.35738255033557,289
25.55704697986577,3016
25.756711409395972,509
25.956375838926174,635
26.156040268456373,87
26.355704697986578,62
26.55536912751678,42
26.755033557046982,151
26.95469798657718,1422
27.154362416107382,1453
27.354026845637584,763
27.553691275167786,186
27.753355704697984,153
27.953020134228186,113
28.15268456375839,152
28.35234899328859,1579
28.552013422818792,204
28.751677852348994,706
28.951342281879196,914
29.151006711409398,147
29.350671140939596,465
29.550335570469798,1046
29.75,152
29.949664429530205,1299
30.149328859060404,2088
30.348993288590606,167
30.548657718120804,582
30.74832214765101,272
30.947986577181208,161
31.14765100671141,1351
31.347315436241608,511
31.546979865771814,427
31.746644295302012,787
31.946308724832214,364
32.145973154362416,233
32.34563758389262,1150
32.54530201342282,285
32.74496644295302,1081
32.94463087248322,582
33.14429530201342,249
33.34395973154363,210
33.54362416107382,204
33.74328859060403,194
33.942953020134226,828
34.14261744966443,488
34.34228187919464,4504
34.54194630872483,973
34.741610738255034,836
34.941275167785236,725
35.14093959731544,324
35.34060402684564,2107
35.54026845637584,720
35.739932885906036,2119
35.939597315436245,420
36.13926174496644,1200
36.33892617449664,1458
36.538590604026844,1534
36.738255033557046,1264
36.937919463087255,838
37.13758389261745,1667
37.33724832214765,220
37.53691275167785,303
37.736577181208055,220
37.93624161073825,214
38.13590604026846,261
38.335570469798654,706
38.53523489932886,358
38.73489932885906,157
38.93456375838926,283
39.13422818791947,172
39.33389261744966,133
39.533557046979865,1774
39.73322147651007,789
39.93288590604027,896
40.13255033557047,836
40.33221476510067,112
40.53187919463087,714
40.73154362416108,943
40.93120805369127,151
41.130872483221474,1306
41.33053691275168,3055
41.53020134228188,824
41.72986577181209,398
41.92953020134228,100
42.12919463087248,326
42.328859060402685,973
42.52852348993289,1923
42.72818791946308,724
42.92785234899329,1069
43.127516778523486,121
43.327181208053695,291
43.5268456375839,831
