seconds,b1,anomalyScore,predicted,anomalyLikelihood
0.19966442953020133,0,1.0,0.0,0.5
0.39932885906040266,0,1.0,0.0,0.5
0.598993288590604,0,1.0,0.0,0.5
0.7986577181208053,0,1.0,0.0,0.5
0.9983221476510067,295,1.0,0.0,0.5
1.197986577181208,0,1.0,0.0,0.5
1.3976510067114094,1,1.0,1.0,0.5
1.5973154362416107,0,1.0,0.0,0.5
1.7969798657718121,0,1.0,0.0,0.5
1.9966442953020134,0,1.0,0.0,0.5
2.196308724832215,37,1.0,37.0,0.5
2.395973154362416,0,1.0,0.0,0.5
2.5956375838926173,47,0.975,47.0,0.5
2.795302013422819,10,1.0,10.0,0.5
2.99496644295302,22,1.0,22.0,0.5
3.1946308724832213,0,1.0,0.0,0.5
3.3942953020134228,0,0.8,0.0,0.5
3.5939597315436242,0,1.0,0.0,0.5
3.7936241610738257,0,1.0,2.996206082099999,0.5
3.9932885906040267,0,1.0,40.0,0.5
4.192953020134228,29,1.0,1.4681409802289993,0.5
4.39261744966443,0,1.0,1.4681409802289993,0.5
4.592281879194631,182,1.0,1.0276986861602995,0.5
4.791946308724832,0,1.0,1.0276986861602995,0.5
4.991610738255034,0,1.0,0.7193890803122096,0.5
5.191275167785235,112,1.0,0.5035723562185467,0.5
5.390939597315436,13,1.0,0.5035723562185467,0.5
5.590604026845638,0,1.0,36.7,0.5
5.790268456375839,16,1.0,2.9767504545470875,0.5
5.98993288590604,0,0.775,6.883725318182961,0.5
6.189597315436242,0,0.975,4.818607722728072,0.5
6.389261744966443,0,0.9,3.3730254059096505,0.5
6.5889261744966445,0,0.975,182.0,0.5
6.7885906040268456,40,1.0,1.6527824488957286,0.5
6.988255033557047,1,1.0,37.69,0.5
7.1879194630872485,9,1.0,1.45694771422701,0.5
7.3875838926174495,0,0.875,3.7198633999589066,0.5
7.587248322147651,0,0.925,2.6039043799712345,0.5
7.7869127516778525,0,1.0,1.822733065979864,0.5
7.9865771812080535,571,1.0,1.2759131461859048,0.5
8.186241610738255,0,1.0,1.2759131461859048,0.5
8.385906040268456,292,1.0,0.8931392023301333,0.5
8.58557046979866,7,1.0,37.69,0.5
8.78523489932886,0,1.0,2.725197441631093,0.5
8.984899328859061,0,0.975,1.907638209141765,0.5
9.184563758389261,0,0.975,1.3353467463992355,0.5
9.384228187919463,0,0.6,0.9347427224794648,0.5
9.583892617449663,0,0.85,0.6543199057356253,0.5
9.783557046979867,0,0.925,0.45802393401493763,0.5
9.983221476510067,144,0.975,0.32061675381045635,0.5
10.18288590604027,0,0.975,0.32061675381045635,0.5
10.38255033557047,86,1.0,0.22443172766731942,0.5
10.582214765100671,3356,1.0,3356.0,0.5
10.781879194630871,5357,1.0,5357.0,0.5
10.981543624161075,3759,1.0,3759.0,0.5
11.181208053691275,6181,1.0,6181.0,0.5
11.380872483221477,1897,1.0,1897.0,0.5
11.580536912751677,6016,1.0,6016.0,0.5
11.78020134228188,9592,1.0,9592.0,0.5
11.97986577181208,4926,1.0,4926.0,0.5
12.179530201342283,4144,1.0,4144.0,0.5
12.379194630872483,3332,1.0,3332.0,0.5
12.578859060402685,2644,1.0,2644.0,0.5
12.778523489932885,2078,1.0,2078.0,0.5
12.978187919463087,1491,1.0,1491.0,0.5
13.177852348993289,1728,1.0,1728.0,0.5
13.377516778523491,1070,1.0,1070.0,0.5
13.577181208053691,1420,1.0,1728.0,0.5
13.776845637583893,538,1.0,0.22443172766731942,0.5
13.976510067114093,892,1.0,892.0,0.5
14.176174496644295,477,1.0,477.0,0.5
14.375838926174497,612,1.0,612.0,0.5
14.575503355704699,369,1.0,369.0,0.5
14.775167785234899,249,1.0,249.0,0.5
14.974832214765103,668,1.0,668.0,0.5
15.174496644295303,414,0.7,414.0,0.5
15.374161073825505,709,1.0,414.0,0.5
15.573825503355705,580,1.0,580.0,0.5
15.773489932885907,7226,1.0,7226.0,0.5
15.973154362416107,377,1.0,249.0,0.5
16.17281879194631,72,0.925,0.22443172766731942,0.5
16.37248322147651,1828,1.0,1828.0,0.5
16.57214765100671,1194,0.8,1194.0,0.5
16.77181208053691,3633,1.0,3633.0,0.5
16.971476510067113,994,1.0,994.0,0.5
17.17114093959732,141,1.0,141.0,0.5
17.370805369127517,102,1.0,102.0,0.5
17.57046979865772,261,1.0,680.3,0.5
17.77013422818792,316,1.0,316.0,0.5
17.969798657718123,4998,0.975,4144.0,0.5
18.16946308724832,7373,0.975,7373.0,0.5
18.369127516778523,3894,1.0,3894.0,0.5
18.568791946308725,4733,1.0,4733.0,0.5
18.768456375838927,5037,1.0,7373.0,0.5
18.968120805369125,4531,1.0,4531.0,0.5
19.167785234899327,3190,1.0,3190.0,0.5
19.36744966442953,3380,1.0,3380.0,0.5
19.567114093959734,6630,0.975,6630.0,0.5
19.766778523489933,4454,1.0,3190.0,0.5
19.966442953020135,6003,1.0,6003.0,0.5
20.166107382550337,2974,1.0,2974.0,0.5
20.36577181208054,1952,1.0,1952.0,0.5
20.565436241610737,3179,1.0,3380.0,0.5
20.76510067114094,1945,1.0,3186.7,0.5
20.96476510067114,2901,0.775,1949.8999999999999,0.5
21.164429530201343,955,1.0,161.71999999999997,0.5
21.36409395973154,456,0.4,612.0,0.5
21.563758389261743,1133,0.925,1133.0,0.5
21.76342281879195,536,1.0,536.0,0.5
21.96308724832215,1972,1.0,2901.0,0.5
22.16275167785235,1673,0.825,1673.0,0.5
22.36241610738255,5253,1.0,3759.0,0.5
22.562080536912752,861,1.0,470.69999999999993,0.5
22.761744966442954,4340,1.0,4340.0,0.5
22.961409395973153,3049,0.9,1956.5299999999997,0.5
23.161073825503355,1963,0.775,1673.0,0.5
23.360738255033556,1819,0.65,1194.0,0.5
23.56040268456376,1797,0.925,1194.0,0.5
23.760067114093957,4723,0.975,5037.0,0.5
23.95973154362416,848,1.0,4340.0,0.5
24.159395973154364,951,1.0,470.69999999999993,0.5
24.359060402684566,758,0.825,758.0,0.5
24.558724832214764,588,0.625,7226.0,0.5
24.758389261744966,192,0.9,103.53999999999998,0.5
24.95805369127517,180,0.975,103.53999999999998,0.5
25.15771812080537,266,0.9,266.0,0.5
25.35738255033557,289,0.925,289.0,0.5
25.55704697986577,3016,0.975,1958.4709999999995,0.5
25.756711409395972,509,1.0,1958.4709999999995,0.5
25.956375838926174,635,0.825,635.0,0.5
26.156040268456373,87,0.85,266.33399999999995,0.5
26.355704697986578,62,0.975,62.0,0.5
26.55536912751678,42,0.825,42.0,0.5
26.755033557046982,151,0.7,266.33399999999995,0.5
26.95469798657718,1422,1.0,528.8799999999999,0.5
27.154362416107382,1453,0.875,528.8799999999999,0.5
27.354026845637584,763,0.775,577.99,0.5
27.553691275167786,186,1.0,162.34279999999995,0.5
27.753355704697984,153,0.525,1430.3199999999997,0.5
27.953020134228186,113,0.65,49.13166999999999,0.5
28.15268456375839,152,0.675,102.90459999999999,0.5
28.35234899328859,1579,0.65,1579.0,0.5
28.552013422818792,204,1.0,157.27797199999995,0.5
28.751677852348994,706,1.0,194.33999999999997,0.5
28.951342281879196,914,0.85,759.5,0.5
29.151006711409398,147,0.925,1579.0,0.5
29.350671140939596,465,0.925,618.9,0.5
29.550335570469798,1046,0.5,154.19458039999995,0.5
29.75,152,0.85,152.0,0.5
29.949664429530205,1299,0.825,1299.0,0.5
30.149328859060404,2088,1.0,2088.0,0.5
30.348993288590606,167,1.0,167.0,0.5
30.548657718120804,582,0.875,582.0,0.5
30.74832214765101,272,0.8,3016.0,0.5
30.947986577181208,161,0.85,161.0,0.5
31.14765100671141,1351,0.45,2081.0,0.5
31.347315436241608,511,0.75,618.9,0.5
31.546979865771814,427,0.925,688.0099999999999,0.5
31.746644295302012,787,0.675,787.0,0.5
31.946308724832214,364,0.775,49.13166999999999,0.5
32.145973154362416,233,0.65,688.0099999999999,0.5
32.34563758389262,1150,0.975,523.5159999999998,0.5
32.54530201342282,285,0.9,158.60274107719997,0.5
32.74496644295302,1081,0.85,158.60274107719997,0.5
32.94463087248322,582,0.9,273.12366,0.5
33.14429530201342,249,0.175,1068.26,0.5
33.34395973154363,210,0.525,1150.0,0.5
33.54362416107382,204,0.475,1150.0,0.5
33.74328859060403,194,0.625,206.20961999999994,0.5
33.942953020134226,828,0.825,828.0,0.5
34.14261744966443,488,0.925,1068.26,0.5
34.34228187919464,4504,1.0,3186.7,0.5
34.54194630872483,973,0.975,759.5,0.5
34.741610738255034,836,0.7,474.693,0.5
34.941275167785236,725,0.75,369.17999999999995,0.5
35.14093959731544,324,0.425,202.54673399999993,0.5
35.34060402684564,2107,1.0,158.60274107719997,0.5
35.54026845637584,720,1.0,307.669,0.5
35.739932885906036,2119,1.0,740.405,0.5
35.939597315436245,420,0.825,787.0,0.5
36.13926174496644,1200,0.725,3633.0,0.5
36.33892617449664,1458,1.0,1458.0,0.5
36.538590604026844,1534,0.65,1534.0,0.5
36.738255033557046,1264,0.925,1481.1,0.5
36.937919463087255,838,0.975,838.0,0.5
37.13758389261745,1667,1.0,1667.0,0.5
37.33724832214765,220,1.0,842.6612999999999,0.5
37.53691275167785,303,0.65,2110.6,0.5
37.736577181208055,220,0.65,306.26829999999995,0.5
37.93624161073825,214,0.125,306.26829999999995,0.5
38.13590604026846,261,0.325,212.21352976199995,0.5
38.335570469798654,706,0.825,898.5999999999999,0.5
38.53523489932886,358,0.25,212.21352976199995,0.5
